10.1.32.179 - - [31/Mar/2013:02:40:59 +0530] "GET /faces/support/gc.jsp HTTP/1.0" 302 - "-" "Wget/1.12 (linux-gnu)"
10.1.32.179 - - [31/Mar/2013:02:41:39 +0530] "GET /faces/support/gc.jsp HTTP/1.0" 302 - "-" "Wget/1.12 (linux-gnu)"
10.1.32.179 - - [31/Mar/2013:02:41:39 +0530] "GET /faces/support/gc.jsp HTTP/1.0" 200 23 "-" "Wget/1.12 (linux-gnu)"
125.19.235.212 - - [31/Mar/2013:02:41:47 +0530] "GET /puma-t-shirt/pr-16682_c-36/ HTTP/1.1" 200 8233 "-" "WinHTTP ActiveXperts"
10.1.32.179 - - [31/Mar/2013:02:41:52 +0530] "GET /sysinfo.jsp HTTP/1.0" 302 - "-" "Wget/1.12 (linux-gnu)"
10.1.32.179 - - [31/Mar/2013:02:41:52 +0530] "GET /sysinfo.jsp HTTP/1.0" 404 986 "-" "Wget/1.12 (linux-gnu)"
125.19.235.212 - - [31/Mar/2013:02:42:33 +0530] "GET /puma-t-shirt/pr-16682_c-36/ HTTP/1.1" 200 8233 "-" "WinHTTP ActiveXperts"
10.1.32.179 - - [31/Mar/2013:02:43:03 +0530] "GET /sysinfo.jsp HTTP/1.0" 302 - "-" "Wget/1.12 (linux-gnu)"
10.1.32.179 - - [31/Mar/2013:02:43:03 +0530] "GET /sysinfo.jsp HTTP/1.0" 200 8717 "-" "Wget/1.12 (linux-gnu)"
123.201.200.131 - - [31/Mar/2013:02:43:22 +0530] "GET /sysinfo.jsp HTTP/1.1" 200 8717 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
123.201.200.131 - - [31/Mar/2013:02:43:22 +0530] "GET /favicon.ico HTTP/1.1" 404 986 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
123.201.200.131 - - [31/Mar/2013:02:43:25 +0530] "GET /sysinfo.jsp HTTP/1.1" 200 8718 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
123.201.200.131 - - [31/Mar/2013:02:43:25 +0530] "GET /favicon.ico HTTP/1.1" 404 986 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
125.19.235.212 - - [31/Mar/2013:02:43:38 +0530] "GET /puma-t-shirt/pr-16682_c-36/ HTTP/1.1" 200 8233 "-" "WinHTTP ActiveXperts"
123.201.200.131 - - [31/Mar/2013:02:43:49 +0530] "GET /sysinfo.jsp?s1=1&s2=1&s3=1&s4=1&s5=1&s6=1&s7=1&s8=1&s9=1&s10=1&jndiName=jdbc%2Fbit&contextName= HTTP/1.1" 200 9214 "http://exclusive1.bagittoday.com/sysinfo.jsp" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
125.19.235.212 - - [31/Mar/2013:02:44:38 +0530] "GET /puma-t-shirt/pr-16682_c-36/ HTTP/1.1" 200 8233 "-" "WinHTTP ActiveXperts"
123.201.200.131 - - [31/Mar/2013:02:47:22 +0530] "GET /favicon.ico HTTP/1.1" 404 986 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
123.201.200.131 - - [31/Mar/2013:02:47:25 +0530] "GET /sysinfo.jsp?s1=1&s2=1&s3=1&s4=1&s5=1&s6=1&s7=1&s8=1&s9=1&s10=1&jndiName=jdbc%2Fbit&contextName= HTTP/1.1" 200 9214 "http://exclusive1.bagittoday.com/sysinfo.jsp" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
123.201.200.131 - - [31/Mar/2013:02:47:25 +0530] "GET /sysinfo.jsp?s1=1&s2=1&s3=1&s4=1&s5=1&s6=1&s7=1&s8=1&s9=1&s10=1&jndiName=jdbc%2Fbit&contextName= HTTP/1.1" 200 9214 "http://exclusive1.bagittoday.com/sysinfo.jsp" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
10.1.32.179 - - [31/Mar/2013:02:47:35 +0530] "GET /faces/cache/flushOrgAndAppCache.jsp?param=orgCacheflush=true HTTP/1.1" 200 106 "-" "Java/1.7.0_09-icedtea"
123.201.200.131 - - [31/Mar/2013:02:47:35 +0530] "GET /faces/cache/clearCache.jsp?nodes=http://exclusive1.bagittoday.com:18080/faces/cache/flushOrgAndAppCache.jsp?param=orgCache,http://exclusive1.bagittoday.com:28080/faces/cache/flushOrgAndAppCache.jsp?param=orgCache,http://exclusive2.bagittoday.com:18080/faces/cache/flushOrgAndAppCache.jsp?param=orgCache,http://exclusive2.bagittoday.com:28080/faces/cache/flushOrgAndAppCache.jsp?param=orgCache HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
